sim_time,vehicle_id,tls_id,lane_id,position,speed,priority_granted,phase_index,note
22,bus1,122804862,-604060314#0_0,62.006110237388874,14.006388675960713,yes,2,bus granted priority
23,bus1,122804862,-604060314#0_0,77.07439316615276,15.068282928763889,yes,2,bus granted priority
24,bus1,122804862,-604060314#0_0,9.979138820122927,15.154745653970167,yes,2,bus granted priority
25,bus1,122804862,-604060314#0_0,10.56616295994073,15.607024139817804,yes,2,bus granted priority
41,bus2,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,19.52757220454164,15.64143901509233,yes,4,bus granted priority
42,bus2,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,35.14520521903992,15.61763301449828,yes,4,bus granted priority
43,bus1,5703666296,-1194285985#1_0,13.163289189551044,15.521440634224565,yes,0,bus granted priority
43,bus2,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,5.615007992448518,14.729802773408592,yes,4,bus granted priority
44,bus2,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,19.976405729694527,14.361397737246007,yes,4,bus granted priority
89,bus1,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,28.135670953420878,15.46941739629954,yes,4,bus granted priority
90,bus1,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,39.60508834972042,11.46941739629954,yes,4,bus granted priority
91,bus1,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,2.814505746019961,7.469417396299541,yes,4,bus granted priority
92,bus1,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,9.82034229665059,7.0058365506306295,yes,4,bus granted priority
93,bus1,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,4.721469706138555,7.051127409487963,yes,4,bus granted priority
120,bus1,cluster_322079583_7059565429_7059565430_7059565458,755844263_0,0.048085731985398894,1.0491444432176649,yes,0,bus granted priority
121,bus1,cluster_322079583_7059565429_7059565430_7059565458,755844263_0,2.2175160780273164,2.1694303460419175,yes,0,bus granted priority
122,bus1,cluster_322079583_7059565429_7059565430_7059565458,755844263_0,5.211891370891013,2.994375292863696,yes,0,bus granted priority
123,bus1,cluster_322079583_7059565429_7059565430_7059565458,755844263_0,9.04288332301227,3.830991952121257,yes,0,bus granted priority
124,bus1,cluster_322079583_7059565429_7059565430_7059565458,755844263_0,13.749082177477305,4.706198854465036,yes,0,bus granted priority
141,bus1,cluster_461492468_7059565454,755844262#0_0,11.170464752931466,13.130533115789294,yes,0,bus granted priority
142,bus1,cluster_461492468_7059565454,755844262#0_0,24.57463296137782,13.404168208446354,yes,0,bus granted priority
163,bus1,cluster_122966911_7059565450,755844261#0_0,13.130581944529318,13.38812234298326,yes,0,bus granted priority
164,bus1,cluster_122966911_7059565450,755844261#0_0,26.47402201866766,13.343440074138343,yes,0,bus granted priority
165,bus1,cluster_122966911_7059565450,755844261#0_0,7.931368455281834,13.317346436614171,yes,0,bus granted priority
166,bus1,cluster_122966911_7059565450,755844261#0_0,3.1458640116177286,13.124495556335896,yes,0,bus granted priority
