trip_id,vehicle_id,start_stop_id,end_stop_id,start_time,end_time,duration
t460-b16017-sl3,2145,2434,1941,2025-06-23 11:23:10,2025-06-23 11:35:16,12.1
t474-b16020-sl3,2216,2434,1941,2025-06-23 11:41:30,2025-06-23 11:52:31,11.02
t53C-b16028-sl3,2322,2434,1941,2025-06-23 13:41:49,2025-06-23 13:50:12,8.38
t5A0-b1602A-sl3,2147,2434,1941,2025-06-23 14:43:25,2025-06-23 14:58:53,15.47
t5DC-b15FA0-sl3,2320,2434,1941,2025-06-23 15:02:47,2025-06-23 15:13:48,11.02
t5F0-b1602B-sl3,2142,2434,1941,2025-06-23 15:21:55,2025-06-23 15:34:35,12.67
t6B8-b16033-sl3,3100,2434,1941,2025-06-23 17:28:26,2025-06-23 17:39:12,10.77
t6CC-b16027-sl3,3132,2434,1941,2025-06-23 17:42:45,2025-06-23 17:51:53,9.13
t71C-b16007-sl3,1907,2434,1941,2025-06-23 18:22:07,2025-06-23 18:33:12,11.08
t730-b16008-sl3,2126,2434,1941,2025-06-23 18:52:09,2025-06-23 19:00:50,8.68
t76C-b16029-sl3,3104,2434,1941,2025-06-23 19:02:15,2025-06-23 19:10:11,7.93
t834-b16009-sl3,2228,2434,1941,2025-06-23 21:02:33,2025-06-23 21:11:16,8.72
